product,percent
Payday loan,14.38
"Credit reporting, credit repair services, or other personal consumer reports",0
Checking or savings account,0
Credit card or prepaid card,0
Money transfers,14.610000000000001
Vehicle loan or lease,0
Student loan,8.06
Virtual currency,50
Other financial service,18.81
Credit card,20.41
Consumer Loan,21.44
Prepaid card,14.04
Credit reporting,15.75
Debt collection,5.42
"Money transfer, virtual currency, or money service",0
"Payday loan, title loan, or personal loan",0
Bank account or service,18.59
Mortgage,13.750000000000002
