company_name,percent
"(Former)Shapiro, Swertfeger & Hasty, LLP",0
"1 Auto Finance, Inc.",0
"1 STOP MONEY CENTERS, LLC",77.78
10 Cent Title Pawn Inc,100
16 Hands LLC. dba Fiducius,100
"1803 Capital, LLC",80
1ST 2ND MORTGAGE CO. OF NJ INC,50
"1ST ALLIANCE LENDING, LLC",66.67
"1ST CHOICE LOANS, LLC.",100
"1ST FINANCIAL, INC.",75
"1ST IBERIA CREDIT, INC.",100
1ST PREFERENCE MORTGAGE CORP,100
"1ST RESULTS BILLINGS & COLLECTIONS, INC.",100
"1st Capital Finance of South Carolina, Inc.",100
"1st Capital Mortgage, LLC",100
1st Fidelity Loan Servicing,60
1st Florida Lending CORP,50
1st Franklin Financial Corporation,55.32
1st Maryland Mortgage Corporation,50
1st Midwest Mortgage Corp,100
"1st Money Center, Inc., Hurst, TX Branch",50
1st Portfolio Holding Corporation,100
"1st United Funding, LLC",100
21ST MORTGAGE CORP.,99.550000000000011
2233 Paradise Road LLC,47.06
2288984 Ontario Inc.,99.38
24 Asset Management Corp,100
245 Holdings LLC,100
360 Credit Consulting,100
360 MORTGAGE GROUP LLC,98.11
360 Mortgage Inc.,0
"391 Financial, Inc.",100
"3D Financial, LP",100
"3G+1, Inc. dba California Auto Finance",50
"3rd Generation, Inc.",47.3
4 Star Resolution LLC (Closed),13.79
"4M Collections, LLC",83.33
"4finance US Holding Company, Inc.",0
"60 Month Loans, Inc.",100
77 Elite,100
8 Investments Corporation dba MediComm,66.67
90 Day Credit Experts,100
950 Credit Inc,100
99th Floor LLC,50
"A & A North American Financial, LLC",100
A & E Futures LLC,91.67
A & J COLLECTION,33.33
"A & O Recovery Solutions, LLC",0
"A & S Collection Associates, Inc.",40
A Credits Works,0
A P Auto Finance Inc,100
A Top Golden Lending,100
A&D Mortgage LLC,100
"A+ Financial Services, Inc.",88.89
"A+ Loans, Inc.",100
"A-1 Fast Cash of Tucker, Inc",100
"A-1 Premium Acceptance, Inc.",88
A-L FINANCIAL CORP,100
"A-M-S Mortgage Services, Inc.",100
"A.C.S. Companies, Inc. I",83.33
A.I.T. Credit Services Inc.,100
"A.L. Babbs and Associates, LLC",100
A.R.C. Accounts Recovery (U.S.A.) Corporation LLC,0
"A.R.M. Solutions, Inc.",97.41
"A/R CONCEPTS, INC.",100
A1 Holding Group LLC,66.67
A1 Solutions Group Inc,100
"AA Recovery Solutions, Inc.",73.81
"AAA Auto Title Loans, LLC",100
"AAA COLLECTORS, INC.",50
"AAA Checkmate, L.L.C.",100
AAA Collections,98.509999999999991
"AAA Credit Bureau, Inc.",100
AAA LEGACY INVESTMENTS,0
AARON DELGADO AND ASSOCIATES INC,0
"AAS Debt Recovery, Inc.",96.55
"ABA Recovery Service, Inc.",0
ABC Credit & Recovery Services Inc.,62.5
ABC Finance Co.,50
ABC First Inc,100
ABC Loan of Martinez/ Georgia Finco Holding Corp,100
ABR Recovery Services LLC.,96.61
ABSOLUTE CREDIT  LLC,88.89
"ABSOLUTE FINANCIAL SERVICES, INC",100
"AC AutoPay LLC, Denver, CO Branch",17.98
"ACC Management, Inc.",0
"ACCELERATED COLLECTION SERVICE, INC",47.370000000000005
ACCEPTANCE CAPITAL MORTGAGE,25
ACCESS GROUP INC.,99.28
ACCESS LOAN COMPANY,66.67
ACCESS TO LOANS FOR LEARNING STUDENT LOAN CORP.,100
"ACCORD CREDITOR SERVICES, LLC",100
ACCOUNT SERVICES INC.,88.89
ACCOUNTS ADVOCATE AGENCY,66.67
"ACE LENDING GROUP, LLC",0
ACE Midland Holdings,100
ACG FUNDING INC,100
ACH Recovery Solutions,0
"ACI Worldwide, Corp.",92.86
"ACIMA CREDIT, LLC",100
ACOPIA CAPITAL GROUP,84
"ACQ Holdings, LLC.",94.44
ACRANET INC,88.24
ACRE MORTGAGE,66.67
ACS Education Services,95.37
ACS Financial LLC,0
ACXIOM CORP.,100
AD Capital LLC,100
ADA Brown LLC dba Star of Texas Financial Solutions,100
ADESA CORPORATION,100
ADF Automotives LLC,100
ADIR INTERNATIONAL LLC,88.68
ADP Inc.,96
"ADP, LLC",94.12
ADR ARBITRATION SERVICES (Closed),94.59
ADVANCE MORTGAGE & INVESTMENT,100
"ADVANCED DEBT COLLECTION, INC.",100
"ADVANTAGE RECOVERY SERVICES, INC.",50
"ADVISORS MORTGAGE GROUP, LLC",92.86
AE Tradings Inc,100
AES/PHEAA,99.929999999999993
AFFORDABLE MORTGAGE ADVISORS LLC,100
"AFJ Systems, Inc.",100
"AFM Financial Services, LLC",0
AFNI INC.,100
AG AH LLC,100
AGN Auto Gallery Inc,100
"AGORA NOTUS, LLC",100
"AGS Financial, Inc",100
AHL Funding,100
AIH Receivables Management Inc.,100
"AIV FINANCIAL GROUP, LLC",100
"AK Bell, Inc.",100
"AKT AMERICAN CAPITAL, INC. DBA AMERICAN CAPITAL CORP.",14.29
ALAMEDA MORTGAGE CORPORATION,100
ALASKA COMMISSION ON POST SECONDARY EDUCATION,94.44
ALASKA HOUSING FINANCE CORPORATION,100
ALASKA USA FEDERAL CREDIT UNION,100
ALCHRO INC.,64.039999999999992
ALCOVA MORTGAGE LLC,83.33
"ALE Solutions, Inc.",100
"ALEXANDER-ROSE ASSOC, INC.",85.71
ALG,0
"ALG Real Estate Services, Inc",100
ALG Trustee LLC,100
ALKAN MORTGAGE CORPORATION,0
"ALL FAMILY FINANCE, LLC",50
ALL WESTERN MORTGAGE,77.78
ALLIANCE FINANCIAL RESOURCES,50
ALLIANT CREDIT UNION,99.81
ALLIED MORTGAGE GROUP,90.32
ALLIED NATIONAL INC,0
ALLIED SECURITY LLC,100
ALLOCATED BUSINESS MANAGEMENT LLC,100
"ALLSTATE LENDING GROUP, INC",100
"ALLTRAN FINANCIAL, LP",0
ALLY FINANCIAL INC.,99.99
ALMA Financial Assistance Corp.,100
ALPAT COMPANY INC,93.75
ALPHA MORTGAGE CORPORATION,50
ALTERNATIVE DISPUTE RESOLUTIONS,1.5599999999999998
"AM Systems, LLC",100
"AMA Advisors, LLC.",99.76
"AMALGAMATED TOKEN SERVICES, INC.",55.000000000000007
"AMCOL Systems, Inc.",96.84
AMERICA FIRST FEDERAL CREDIT UNION,99.11999999999999
"AMERICA'S LOAN COMPANY, LLC",100
"AMERICAN ADJUSTMENT BUREAU,INC.",100
AMERICAN ADVISORS GROUP,95.309999999999988
AMERICAN ARMED FORCES MUTUAL AID ASSOCIATION,100
"AMERICAN BANCSHARES MORTGAGE, LLC",75
AMERICAN EAGLE MORTGAGE COMPANY,100
AMERICAN EQUITY MORTGAGE,96.3
AMERICAN EXPRESS COMPANY,99.99
AMERICAN FAMILY FUNDING GROUP Inc.,100
AMERICAN FEDERAL MORTGAGE CORPORATION,80
AMERICAN FINANCIAL MORTGAGE COMPANY,20
AMERICAN FINANCING CORPORATION,83.72
"AMERICAN HOME MORTGAGE, INC.",100
AMERICAN HONDA FINANCE CORP,98.550000000000011
AMERICAN INTERNET MORTGAGE,81.16
AMERICAN MIDWEST MORTGAGE,100
"AMERICAN MORTGAGE AND INVESTMENT SERVICES, INC.",100
AMERICAN NEIGHBORHOOD MORTGAGE,82.43
AMERICAN PACIFIC MORTGAGE,98.18
AMERICAN PORTIFOLIO MORTGAGE,86.67
AMERICAN SECURITY MORTGAGE CORPORATION,75
AMERICAN SOUTHWEST MORTGAGE CORP.,66.67
AMERICASH,37.5
"AMERICONSULTANTS, LLC",0
"AMERIFIRST FINANCIAL, INC.",89.29
"AMERINATIONAL COMMUNITY SERVICES, INC.",97.37
"AMERIPRO FUNDING, INC.",75
AMERIS BANCORP,94.48
AMERISAVE MORTGAGE CORPORATION,97.8
AMRON PROFESSIONAL SERVICES,0
ANDERSON FINANCIAL GROUP,100
"ANI International, Inc",100
"ANSELL GRIMM & AARON, P.C.",0
"APEX Asset Management, LLC",51.370000000000005
APEX HOME LOANS,100
APG Financial Inc,100
APLUS INSTACASH LLC dba A+ FINANCE,100
APO LLC,100
"APPLE FINANCIAL HOLDINGS, INC.",88.81
APPLE RECOVERY SERVICES CORP,78.57
"APPLE RECOVERY, LLC",74.070000000000007
"AR Audit Services, Inc",81.820000000000007
"AR Resources, Inc.",96.52
"AR Resources, Inc. (FL)",100
AR Solutions Inc,92.31
"AR1 MORTGAGES, INC",100
ARAKI-REGAN & ASSOCIATES LLC,100
ARBOR MORTGAGE,50
"ARC Management Group, LLC",74.81
ARC Services,28.57
ARM Professional Services LLC,100
ARM WNY LLC,70.679999999999993
ARP & Associates LLC,100
"ARS National Services, Inc.",96.83
"ARVEST BANK GROUP, INC.",99.22999999999999
ASAP Credit Repair,100
ASG Solutions LLC,69.23
ASPIRE FINANCIAL INC.,64
ASSOCIATED BANC-CORP,100
ASSOCIATED MORTGAGE BANKERS IN,80
ASSOCIATED MORTGAGE CORP,100
"ASSURANCE FINANCIAL GROUP, LLC",100
ASTA FUNDING INC.,95.05
ASTORIA BANK,100
AT&T,0
"ATG Credit, LLC",98.64
"ATHAS CAPITAL GROUP, INC.",86.67
"ATKB PORTFOLIO MANAGEMENT, LLC",100
ATLANTIC BAY MORTGAGE GROUP LLC,95.83
"ATLANTIC COAST FINANCIAL SERVICES, INC.",100
"ATLANTIC COAST MORTGAGE, LLC",100
ATLANTIC HOME LOANS INC.,100
ATLANTIC PACIFIC MORTGAGE CORP,69.57
"AUDIT SYSTEMS,INC",100
AUDUBON LIBERTY & ASSOCIATES,0
AURORA FINANCIAL GROUP INC,100
"AUSSRQ Holdings, LLC",100
