company_name,timely_response,count
"(Former)Shapiro, Swertfeger & Hasty, LLP",false,12
"1 Auto Finance, Inc.",false,2
"1 STOP MONEY CENTERS, LLC",false,2
"1 STOP MONEY CENTERS, LLC",true,7
10 Cent Title Pawn Inc,true,2
16 Hands LLC. dba Fiducius,true,1
"1803 Capital, LLC",false,1
"1803 Capital, LLC",true,4
1ST 2ND MORTGAGE CO. OF NJ INC,false,1
1ST 2ND MORTGAGE CO. OF NJ INC,true,1
"1ST ALLIANCE LENDING, LLC",false,8
"1ST ALLIANCE LENDING, LLC",true,16
"1ST CHOICE LOANS, LLC.",true,1
"1ST FINANCIAL, INC.",true,6
"1ST FINANCIAL, INC.",false,2
"1ST IBERIA CREDIT, INC.",true,1
1ST PREFERENCE MORTGAGE CORP,true,3
"1ST RESULTS BILLINGS & COLLECTIONS, INC.",true,5
"1st Capital Finance of South Carolina, Inc.",true,3
"1st Capital Mortgage, LLC",true,1
1st Fidelity Loan Servicing,true,3
1st Fidelity Loan Servicing,false,2
1st Florida Lending CORP,false,1
1st Florida Lending CORP,true,1
1st Franklin Financial Corporation,false,126
1st Franklin Financial Corporation,true,156
1st Maryland Mortgage Corporation,true,1
1st Maryland Mortgage Corporation,false,1
1st Midwest Mortgage Corp,true,2
"1st Money Center, Inc., Hurst, TX Branch",false,2
"1st Money Center, Inc., Hurst, TX Branch",true,2
1st Portfolio Holding Corporation,true,1
"1st United Funding, LLC",true,1
21ST MORTGAGE CORP.,true,657
21ST MORTGAGE CORP.,false,3
2233 Paradise Road LLC,true,8
2233 Paradise Road LLC,false,9
2288984 Ontario Inc.,false,1
2288984 Ontario Inc.,true,159
24 Asset Management Corp,true,5
245 Holdings LLC,true,1
360 Credit Consulting,true,3
360 MORTGAGE GROUP LLC,false,2
360 MORTGAGE GROUP LLC,true,104
360 Mortgage Inc.,false,1
"391 Financial, Inc.",true,4
"3D Financial, LP",true,3
"3G+1, Inc. dba California Auto Finance",false,1
"3G+1, Inc. dba California Auto Finance",true,1
"3rd Generation, Inc.",true,35
"3rd Generation, Inc.",false,39
4 Star Resolution LLC (Closed),false,25
4 Star Resolution LLC (Closed),true,4
"4M Collections, LLC",false,5
"4M Collections, LLC",true,25
"4finance US Holding Company, Inc.",false,2
"60 Month Loans, Inc.",true,3
77 Elite,true,8
8 Investments Corporation dba MediComm,false,1
8 Investments Corporation dba MediComm,true,2
90 Day Credit Experts,true,2
950 Credit Inc,true,4
99th Floor LLC,true,1
99th Floor LLC,false,1
"A & A North American Financial, LLC",true,3
A & E Futures LLC,false,2
A & E Futures LLC,true,22
A & J COLLECTION,true,1
A & J COLLECTION,false,2
"A & O Recovery Solutions, LLC",false,53
"A & S Collection Associates, Inc.",true,4
"A & S Collection Associates, Inc.",false,6
A Credits Works,false,1
A P Auto Finance Inc,true,1
A Top Golden Lending,true,1
A&D Mortgage LLC,true,7
"A+ Financial Services, Inc.",true,8
"A+ Financial Services, Inc.",false,1
"A+ Loans, Inc.",true,12
"A-1 Fast Cash of Tucker, Inc",true,1
"A-1 Premium Acceptance, Inc.",false,3
"A-1 Premium Acceptance, Inc.",true,22
A-L FINANCIAL CORP,true,27
"A-M-S Mortgage Services, Inc.",true,1
"A.C.S. Companies, Inc. I",false,1
"A.C.S. Companies, Inc. I",true,5
A.I.T. Credit Services Inc.,true,1
"A.L. Babbs and Associates, LLC",true,1
A.R.C. Accounts Recovery (U.S.A.) Corporation LLC,false,8
"A.R.M. Solutions, Inc.",false,6
"A.R.M. Solutions, Inc.",true,226
"A/R CONCEPTS, INC.",true,15
A1 Holding Group LLC,false,1
A1 Holding Group LLC,true,2
A1 Solutions Group Inc,true,1
"AA Recovery Solutions, Inc.",true,31
"AA Recovery Solutions, Inc.",false,11
"AAA Auto Title Loans, LLC",true,63
"AAA COLLECTORS, INC.",true,1
"AAA COLLECTORS, INC.",false,1
"AAA Checkmate, L.L.C.",true,1
AAA Collections,true,66
AAA Collections,false,1
"AAA Credit Bureau, Inc.",true,4
AAA LEGACY INVESTMENTS,false,1
AARON DELGADO AND ASSOCIATES INC,false,2
"AAS Debt Recovery, Inc.",false,1
"AAS Debt Recovery, Inc.",true,28
"ABA Recovery Service, Inc.",false,2
ABC Credit & Recovery Services Inc.,false,3
ABC Credit & Recovery Services Inc.,true,5
ABC Finance Co.,true,1
ABC Finance Co.,false,1
ABC First Inc,true,1
ABC Loan of Martinez/ Georgia Finco Holding Corp,true,1
ABR Recovery Services LLC.,false,2
ABR Recovery Services LLC.,true,57
ABSOLUTE CREDIT  LLC,true,16
ABSOLUTE CREDIT  LLC,false,2
"ABSOLUTE FINANCIAL SERVICES, INC",true,5
"AC AutoPay LLC, Denver, CO Branch",false,73
"AC AutoPay LLC, Denver, CO Branch",true,16
"ACC Management, Inc.",false,2
"ACCELERATED COLLECTION SERVICE, INC",false,10
"ACCELERATED COLLECTION SERVICE, INC",true,9
ACCEPTANCE CAPITAL MORTGAGE,false,3
ACCEPTANCE CAPITAL MORTGAGE,true,1
ACCESS GROUP INC.,false,1
ACCESS GROUP INC.,true,138
ACCESS LOAN COMPANY,false,1
ACCESS LOAN COMPANY,true,2
ACCESS TO LOANS FOR LEARNING STUDENT LOAN CORP.,true,1
"ACCORD CREDITOR SERVICES, LLC",true,2
ACCOUNT SERVICES INC.,false,1
ACCOUNT SERVICES INC.,true,8
ACCOUNTS ADVOCATE AGENCY,false,3
ACCOUNTS ADVOCATE AGENCY,true,6
"ACE LENDING GROUP, LLC",false,1
ACE Midland Holdings,true,1
ACG FUNDING INC,true,1
ACH Recovery Solutions,false,12
"ACI Worldwide, Corp.",false,2
"ACI Worldwide, Corp.",true,26
"ACIMA CREDIT, LLC",true,1272
ACOPIA CAPITAL GROUP,true,21
ACOPIA CAPITAL GROUP,false,4
"ACQ Holdings, LLC.",false,1
"ACQ Holdings, LLC.",true,17
ACRANET INC,false,2
ACRANET INC,true,15
ACRE MORTGAGE,true,10
ACRE MORTGAGE,false,5
ACS Education Services,false,62
ACS Education Services,true,1277
ACS Financial LLC,false,2
ACXIOM CORP.,true,8
AD Capital LLC,true,1
ADA Brown LLC dba Star of Texas Financial Solutions,true,2
ADESA CORPORATION,true,6
ADF Automotives LLC,true,1
ADIR INTERNATIONAL LLC,false,12
ADIR INTERNATIONAL LLC,true,94
ADP Inc.,false,8
ADP Inc.,true,192
"ADP, LLC",true,32
"ADP, LLC",false,2
ADR ARBITRATION SERVICES (Closed),false,2
ADR ARBITRATION SERVICES (Closed),true,35
ADVANCE MORTGAGE & INVESTMENT,true,1
"ADVANCED DEBT COLLECTION, INC.",true,4
"ADVANTAGE RECOVERY SERVICES, INC.",false,2
"ADVANTAGE RECOVERY SERVICES, INC.",true,2
"ADVISORS MORTGAGE GROUP, LLC",true,13
"ADVISORS MORTGAGE GROUP, LLC",false,1
AE Tradings Inc,true,1
AES/PHEAA,false,10
AES/PHEAA,true,15372
AFFORDABLE MORTGAGE ADVISORS LLC,true,1
"AFJ Systems, Inc.",true,3
"AFM Financial Services, LLC",false,3
AFNI INC.,true,4613
AG AH LLC,true,54
AGN Auto Gallery Inc,true,1
"AGORA NOTUS, LLC",true,3
"AGS Financial, Inc",true,1
AHL Funding,true,1
AIH Receivables Management Inc.,true,12
"AIV FINANCIAL GROUP, LLC",true,1
"AK Bell, Inc.",true,1
"AKT AMERICAN CAPITAL, INC. DBA AMERICAN CAPITAL CORP.",false,6
"AKT AMERICAN CAPITAL, INC. DBA AMERICAN CAPITAL CORP.",true,1
ALAMEDA MORTGAGE CORPORATION,true,18
ALASKA COMMISSION ON POST SECONDARY EDUCATION,true,34
ALASKA COMMISSION ON POST SECONDARY EDUCATION,false,2
ALASKA HOUSING FINANCE CORPORATION,true,1
ALASKA USA FEDERAL CREDIT UNION,true,35
ALCHRO INC.,false,64
ALCHRO INC.,true,114
ALCOVA MORTGAGE LLC,false,2
ALCOVA MORTGAGE LLC,true,10
"ALE Solutions, Inc.",true,5
"ALEXANDER-ROSE ASSOC, INC.",false,6
"ALEXANDER-ROSE ASSOC, INC.",true,36
ALG,false,1
"ALG Real Estate Services, Inc",true,1
ALG Trustee LLC,true,1
ALKAN MORTGAGE CORPORATION,false,1
"ALL FAMILY FINANCE, LLC",true,1
"ALL FAMILY FINANCE, LLC",false,1
ALL WESTERN MORTGAGE,false,2
ALL WESTERN MORTGAGE,true,7
ALLIANCE FINANCIAL RESOURCES,false,4
ALLIANCE FINANCIAL RESOURCES,true,4
ALLIANT CREDIT UNION,false,1
ALLIANT CREDIT UNION,true,524
ALLIED MORTGAGE GROUP,false,3
ALLIED MORTGAGE GROUP,true,28
ALLIED NATIONAL INC,false,1
ALLIED SECURITY LLC,true,1
ALLOCATED BUSINESS MANAGEMENT LLC,true,3
"ALLSTATE LENDING GROUP, INC",true,1
"ALLTRAN FINANCIAL, LP",false,1
ALLY FINANCIAL INC.,true,13628
ALLY FINANCIAL INC.,false,1
ALMA Financial Assistance Corp.,true,1
ALPAT COMPANY INC,false,1
ALPAT COMPANY INC,true,15
ALPHA MORTGAGE CORPORATION,false,1
ALPHA MORTGAGE CORPORATION,true,1
ALTERNATIVE DISPUTE RESOLUTIONS,true,1
ALTERNATIVE DISPUTE RESOLUTIONS,false,63
"AM Systems, LLC",true,2
"AMA Advisors, LLC.",true,419
"AMA Advisors, LLC.",false,1
"AMALGAMATED TOKEN SERVICES, INC.",true,11
"AMALGAMATED TOKEN SERVICES, INC.",false,9
"AMCOL Systems, Inc.",false,19
"AMCOL Systems, Inc.",true,582
AMERICA FIRST FEDERAL CREDIT UNION,false,3
AMERICA FIRST FEDERAL CREDIT UNION,true,338
"AMERICA'S LOAN COMPANY, LLC",true,3
"AMERICAN ADJUSTMENT BUREAU,INC.",true,170
AMERICAN ADVISORS GROUP,true,366
AMERICAN ADVISORS GROUP,false,18
AMERICAN ARMED FORCES MUTUAL AID ASSOCIATION,true,1
"AMERICAN BANCSHARES MORTGAGE, LLC",true,3
"AMERICAN BANCSHARES MORTGAGE, LLC",false,1
AMERICAN EAGLE MORTGAGE COMPANY,true,5
AMERICAN EQUITY MORTGAGE,false,1
AMERICAN EQUITY MORTGAGE,true,26
AMERICAN EXPRESS COMPANY,true,26855
AMERICAN EXPRESS COMPANY,false,4
AMERICAN FAMILY FUNDING GROUP Inc.,true,1
AMERICAN FEDERAL MORTGAGE CORPORATION,true,4
AMERICAN FEDERAL MORTGAGE CORPORATION,false,1
AMERICAN FINANCIAL MORTGAGE COMPANY,false,4
AMERICAN FINANCIAL MORTGAGE COMPANY,true,1
